affinity_org_id,organization_name,industry,state,relationship_owner,date_added
AFF-2001,COBALT WORKING CAPITAL,Transportation & Logistics,TX,R. Delgado,12/06/24
AFF-2002,GreyRock Funding Group,Staffing Services,GA,J. Whitmore,09/01/23
AFF-2003,Torrent Receivables Finance,Manufacturing,OR,J. Whitmore,09/18/23
AFF-2004,Stonebridge Commercial Capital,Construction,PA,T. Okafor,07/23/22
AFF-2005,"Copper Elm Factoring, Inc.",Oil & Gas Services,TX,R. Delgado,03/09/23
AFF-2006,Anchor Point Lending Co.,Wholesale Distribution,FL,T. Okafor,11/18/22
AFF-2007,Bluestone Asset Funding,Healthcare Staffing,TN,T. Okafor,11/17/22
AFF-2008,Elmgrove Capital Partners LP,,CA,J. Whitmore,08/20/24
AFF-2009,Shoreline Commercial Finance,Transportation & Logistics,IL,R. Delgado,08/14/23
AFF-2010,Cedar Peak Funding,Apparel & Textiles,NC,J. Whitmore,05/26/22
AFF-2011,Keystone Trade Finance,Import/Export,NJ,S. Halvorsen,02/10/23
AFF-2012,Slate Harbor Capital,Manufacturing,NV,R. Delgado,11/02/22
AFF-2013,Harbor Reach Funding,Seafood Processing,MA,R. Delgado,05/27/22
AFF-2014,Brookfield Asset Lending,,AZ,S. Halvorsen,03/11/25
AFF-2015,Fairwater Factoring Co,Agriculture,IA,J. Whitmore,09/12/22
AFF-2016,Ridgeway Capital Solutions,Technology Services,WA,S. Halvorsen,04/04/24
AFF-2017,Pinehurst Funding Partners,Furniture Manufacturing,MI,J. Whitmore,06/15/24
AFF-2018,Bayline Cove Finance,,SC,T. Okafor,06/03/24
AFF-2019,Trailridge Working Capital,Oil & Gas Services,OK,S. Halvorsen,02/22/22
AFF-2020,Longview Trade Credit,,CA,T. Okafor,07/06/23
AFF-2021,Marigold Commercial Capital,Pharmaceuticals Distribution,OH,R. Delgado,08/21/24
AFF-2022,Thistle Lending Group,Healthcare Staffing,CO,J. Whitmore,07/24/23
AFF-2023,Ashbury Asset Finance,Metals & Mining Services,UT,J. Whitmore,10/04/24
AFF-2024,Wexford Capital,Apparel & Textiles,NY,J. Whitmore,12/14/23
AFF-2025,Clearford Receivables,Transportation & Logistics,LA,S. Halvorsen,08/03/22
AFF-2026,Ashford Trade Finance,Manufacturing,IN,S. Halvorsen,04/23/24
AFF-2027,Kentmore Commercial Lending,Construction,MO,S. Halvorsen,03/31/24
AFF-2028,Westvale Funding Group,Staffing Services,VA,T. Okafor,07/20/24
AFF-2029,Easton Trade Capital,Wholesale Distribution,CT,S. Halvorsen,06/23/25
AFF-2030,Cypress Hill Funding,Agriculture,KS,S. Halvorsen,08/20/25
AFF-2031,Whitlock Receivables Group,Technology Services,TX,S. Halvorsen,08/04/25
AFF-2032,GREYROCK FUNDING GROUP,Staffing Services,GA,J. Whitmore,09/01/23
AFF-2033,SHORELINE COMMERCIAL FINANCE,Transportation & Logistics,IL,R. Delgado,08/14/23
