transaction_id,transaction_date,fund,share_class,investment_ref,transaction_type,amount
INV-50098,12-Oct-23,Fund I,Class B,FV-1022,Remittance,"76,247.95"
INV-50109,02-Jul-24,ABL Fund,Class A,FV-1025,Remittance,"107,278.37"
INV-50001,09-Oct-23,Fund I,Class A,FV-1001,Funding,"(610,275.00)"
INV-50056,10-Jun-23,Cardinal ABL & Factoring Fund,Class A,FV-1013,Remittance,"158,169.02"
INV-50004,08-Mar-24,Cardinal Lender Finance Fund I,Class A,FV-1002,Funding,"(2,847,950.00)"
INV-50070,19-Jul-23,Cardinal Lender Finance Fund I,Class B,FV-1016,Remittance,"51,133.51"
INV-50095,10-Jul-23,Cardinal Lender Finance Fund I,Class B,FV-1022,Remittance,"66,594.76"
INV-50136,07-Dec-24,Cardinal Lender Finance Fund I,Class A,FV-1031,Remittance,"71,892.54"
INV-50129,16-May-23,Cardinal ABL & Factoring Fund,Class B,FV-1030,Funding,"(2,441,100.00)"
INV-50047,01-Sep-24,Cardinal ABL & Factoring Fund,Class B,FV-1011,Remittance,"255,912.15"
INV-50166,09-Sep-24,Fund I,Class A,FV-1039,Remittance,"58,389.89"
INV-50053,09-Mar-23,ABL Fund,Class A,FV-1013,Funding,"(1,627,400.00)"
INV-50107,01-May-24,ABL Fund,Class B,FV-1025,Funding,"(813,700.00)"
INV-50064,02-Mar-25,Cardinal ABL & Factoring Fund,Class B,FV-1015,Remittance,"348,289.48"
INV-50144,23-May-23,Cardinal ABL & Factoring Fund,Class B,FV-1033,Remittance,"108,302.11"
INV-50100,19-Jul-25,Cardinal Lender Finance Fund I,Class A,FV-1023,Remittance,"69,312.65"
INV-50074,18-Jul-23,Cardinal ABL & Factoring Fund,Class A,FV-1017,Remittance,"52,232.53"
INV-50117,07-Apr-24,Cardinal Lender Finance Fund I,Class B,FV-1027,Funding,"(2,441,100.00)"
INV-50163,13-Apr-25,Cardinal Lender Finance Fund I,Class B,FV-1038,Remittance,"104,325.78"
INV-50012,24-Sep-24,Cardinal ABL & Factoring Fund,Class B,FV-1003,Remittance,"136,868.72"
INV-50030,20-Mar-24,ABL Fund,Class A,FV-1007,Remittance,"148,965.23"
INV-50027,17-Feb-24,ABL Fund,Class A,FV-1006,Servicer Fee,"(1,525.69)"
INV-50105,25-Apr-23,Fund I,Class A,FV-1024,Remittance,"440,549.06"
INV-50037,06-Jun-25,Cardinal Lender Finance Fund I,Class A,FV-1009,Funding,"(610,275.00)"
INV-50067,05-Jun-25,Cardinal ABL & Factoring Fund,Class A,FV-1015,Remittance,"259,586.94"
INV-50125,09-Mar-23,Cardinal ABL & Factoring Fund,Class B,FV-1029,Remittance,"40,116.22"
INV-50023,01-Feb-24,Cardinal ABL & Factoring Fund,Class B,FV-1006,Remittance,"66,987.55"
INV-50114,08-Apr-25,Cardinal ABL & Factoring Fund,Class A,FV-1026,Remittance,"62,990.22"
INV-50041,30-Dec-23,Cardinal Lender Finance Fund I,Class B,FV-1010,Funding,"(1,627,400.00)"
INV-50101,14-Aug-25,Cardinal Lender Finance Fund I,Class A,FV-1023,Remittance,"80,834.36"
INV-50061,08-Jun-24,Fund I,Class A,FV-1014,Remittance,"77,179.57"
INV-50089,12-Apr-25,Fund I,Class A,FV-1020,Remittance,"187,826.12"
INV-50138,20-Dec-24,Fund I,Class A,FV-1031,Servicer Fee,"(2,542.81)"
INV-50010,28-Jul-24,Cardinal ABL & Factoring Fund,Class A,FV-1003,Funding,"(2,847,950.00)"
INV-50052,27-Feb-24,Cardinal Lender Finance Fund I,Class B,FV-1012,Remittance,"342,152.59"
INV-50042,31-Jan-24,Cardinal Lender Finance Fund I,Class B,FV-1010,Remittance,"100,822.33"
INV-50167,08-Oct-24,Cardinal Lender Finance Fund I,Class B,FV-1039,Remittance,"53,066.55"
INV-50113,09-Mar-25,Cardinal ABL & Factoring Fund,Class A,FV-1026,Remittance,"45,189.23"
INV-50016,14-Dec-23,Cardinal Lender Finance Fund I,Class B,FV-1004,Remittance,"58,334.31"
INV-50031,26-Apr-24,Cardinal ABL & Factoring Fund,Class A,FV-1007,Remittance,"375,375.34"
INV-50124,02-Feb-23,ABL Fund,Class A,FV-1029,Funding,"(406,850.00)"
INV-50043,26-Feb-24,Fund I,Class A,FV-1010,Remittance,"119,729.44"
INV-50102,20-Sep-25,Fund I,Class A,FV-1023,Remittance,"85,293.36"
INV-50003,12-Dec-23,Cardinal Lender Finance Fund I,Class A,FV-1001,Remittance,"51,516.55"
INV-50015,11-Nov-23,Cardinal Lender Finance Fund I,Class B,FV-1004,Remittance,"139,061.05"
INV-50137,08-Jan-25,Cardinal Lender Finance Fund I,Class B,FV-1031,Remittance,"124,651.10"
INV-50142,25-May-23,Cardinal Lender Finance Fund I,Class A,FV-1032,Remittance,"334,028.40"
INV-50088,08-Mar-25,Cardinal Lender Finance Fund I,Class B,FV-1020,Remittance,"289,245.78"
INV-50171,26-Jul-24,Cardinal Lender Finance Fund I,Class A,FV-1040,Remittance,"20,086.14"
INV-50135,05-Nov-24,Cardinal Lender Finance Fund I,Class A,FV-1031,Funding,"(1,017,125.00)"
INV-50084,29-May-25,Fund I,Class B,FV-1019,Remittance,"394,990.42"
INV-50062,26-Mar-24,Fund I,Class A,FV-1014,Servicer Fee,"(2,542.81)"
INV-50143,22-Apr-23,ABL Fund,Class A,FV-1033,Funding,"(1,627,400.00)"
INV-50057,10-Feb-24,Cardinal Lender Finance Fund I,Class A,FV-1014,Funding,"(1,017,125.00)"
INV-50112,12-Feb-25,Cardinal ABL & Factoring Fund,Class A,FV-1026,Funding,"(1,017,125.00)"
INV-50106,28-May-23,Cardinal Lender Finance Fund I,Class A,FV-1024,Remittance,"223,335.25"
INV-50165,03-Aug-24,Cardinal Lender Finance Fund I,Class B,FV-1039,Remittance,"24,524.92"
INV-50055,09-May-23,Cardinal ABL & Factoring Fund,Class A,FV-1013,Remittance,"73,041.81"
INV-60004,13-Nov-25,Cardinal ABL & Factoring Fund,Class A,FV-9104,Remittance,"18,308.25"
INV-50013,11-Sep-24,Cardinal ABL & Factoring Fund,Class A,FV-1003,Servicer Fee,"(7,119.88)"
INV-50119,02-Jun-24,Fund I,Class A,FV-1027,Remittance,"356,691.79"
INV-50145,19-Jun-23,ABL Fund,Class B,FV-1033,Remittance,"164,480.32"
INV-50054,06-Apr-23,ABL Fund,Class B,FV-1013,Remittance,"226,119.94"
INV-50017,09-Jun-23,Cardinal Lender Finance Fund I,Class A,FV-1005,Funding,"(2,034,250.00)"
INV-50050,28-Dec-23,Cardinal Lender Finance Fund I,Class A,FV-1012,Remittance,"169,858.74"
INV-50065,30-Mar-25,Cardinal ABL & Factoring Fund,Class B,FV-1015,Remittance,"241,131.00"
INV-50116,10-Jun-25,Cardinal ABL & Factoring Fund,Class B,FV-1026,Remittance,"103,784.03"
INV-50099,18-Jun-25,Cardinal Lender Finance Fund I,Class B,FV-1023,Funding,"(610,275.00)"
INV-50156,08-Jul-24,Cardinal Lender Finance Fund I,Class B,FV-1036,Remittance,"51,915.94"
INV-50006,05-May-24,Cardinal Lender Finance Fund I,Class B,FV-1002,Remittance,"406,737.64"
INV-50127,04-May-23,ABL Fund,Class B,FV-1029,Remittance,"16,840.23"
INV-50087,10-Feb-25,Fund I,Class A,FV-1020,Remittance,"161,886.54"
INV-50059,06-Apr-24,Fund I,Class B,FV-1014,Remittance,"114,907.28"
INV-50007,07-Jun-24,Cardinal Lender Finance Fund I,Class A,FV-1002,Remittance,"188,692.22"
INV-50078,28-Jul-24,Cardinal Lender Finance Fund I,Class B,FV-1018,Remittance,"(208,543.25)"
